skills,job_role
ruby  python  react  java  tensorflow  javascript  rest apis,solutions architect
node.js  mongodb  go  agile  aws  typescript  machine learning,solutions architect
ci/cd  python  kubernetes,software engineer
rest apis  aws  sql,data scientist
react  node.js  docker  python  ruby,machine learning engineer
tensorflow  machine learning  node.js  javascript  agile  typescript,software engineer
go  agile  python  docker  ci/cd  react  tensorflow,solutions architect
machine learning  python  typescript  kubernetes  rest apis  ruby,devops engineer
typescript  react  agile  sql  git  go  mongodb,frontend developer
ruby  go  mongodb  typescript  machine learning,devops engineer
agile  docker  react  go  sql  kubernetes  ci/cd,devops engineer
sql  kubernetes  git  go  ruby  agile,system administrator
go  agile  typescript  ci/cd  tensorflow  ruby  java,qa engineer
agile  kubernetes  machine learning,software engineer
kubernetes  python  machine learning,solutions architect
sql  go  typescript  ci/cd  node.js  java,full stack developer
docker  agile  ruby  sql  machine learning  tensorflow,security engineer
machine learning  node.js  docker  ci/cd,business analyst
agile  java  aws  git  machine learning  ruby  docker,junior developer
agile  go  ci/cd,business analyst
git  mongodb  rest apis  agile  go  ci/cd  python,junior developer
ruby  ci/cd  aws  node.js  git  sql,junior developer
docker  tensorflow  react  agile  python  sql  ci/cd,business analyst
react  agile  python  docker  javascript  kubernetes,system administrator
mongodb  python  typescript  react  node.js,junior developer
mongodb  go  ci/cd  react  java  kubernetes  git,junior developer
agile  tensorflow  ruby  javascript  docker,ux designer
node.js  react  rest apis  kubernetes,system administrator
python  ruby  machine learning  sql  docker,system administrator
aws  react  agile  typescript,system administrator
typescript  git  go,business analyst
docker  aws  mongodb  kubernetes  javascript,data analyst
rest apis  aws  react,system administrator
ruby  react  javascript  typescript  sql  aws,ux designer
node.js  react  machine learning  ci/cd  agile  typescript  java,system administrator
aws  javascript  mongodb  tensorflow  machine learning  ruby  agile,business analyst
ruby  node.js  git  tensorflow  ci/cd,business analyst
mongodb  machine learning  javascript  aws  node.js  python,business analyst
kubernetes  node.js  java  sql  go  react,data analyst
rest apis  kubernetes  mongodb,business analyst
java  docker  machine learning,ux designer
sql  mongodb  ruby  aws,ux designer
sql  go  javascript  machine learning  rest apis,data analyst
aws  javascript  machine learning  rest apis  python  git  go,ux designer
javascript  kubernetes  typescript  python  tensorflow  ruby  git,data analyst
git  python  aws  react,ux designer
python  typescript  tensorflow  ruby,data analyst
python  ci/cd  machine learning  sql,business analyst
python machine learning tensorflow pandas,data scientist
python machine learning deep learning pytorch,data scientist
machine learning ai python,data scientist
python sklearn pandas,data analyst
deep learning python neural networks,ml engineer
python ai ml,data scientist
python machine learning deep learning nlp,data scientist
python ai ml tensorflow pytorch,data scientist
machine learning python data analysis,data scientist
deep learning neural networks python,ml engineer
nlp python transformers,data scientist
python machine learning deep learning nlp,data scientist
python ai ml tensorflow pytorch,data scientist
machine learning python data analysis,data scientist
deep learning neural networks python,ml engineer
nlp python transformers,data scientist
